,scAGN_prediction,scAGN_precision_score,scAGN_recall_score,scAGN_f1_score,seurat_prediction,singleR_prediction,scmap-cluster_prediction,scmap-cell_prediction,chetah_prediction,Seurat_precision_score,Seurat_recall_score,Seurat_f1_score,SingleR_precision_score,SingleR_recall_score,SingleR_f1_score,Scmap-cluster_precision_score,Scmap-cluster_recall_score,Scmap-cluster_f1_score,Scmap-cell_precision_score,Scmap-cell_recall_score,Scmap-cell_f1_score,Chetah_precision_score,Chetah_recall_score,Chetah_f1_score
GSE108989,0.7577729573391179,0.6810350107000155,0.7577729573391179,0.6839786510474954,0.734996,0.724873,0.228489,0.497108,0.339118,0.6131309232383969,0.7326625943226733,0.6514130865554771,0.6626289643702767,0.7248734634851771,0.6881117819482762,0.8197842177977753,0.8657534246575342,0.841681251606027,0.6990294180247714,0.7994186046511628,0.7197992109801411,0.6672835197865524,0.339117859725235,0.4053411028230886
GSE72056,0.9353410097431356,0.940827733283265,0.9353410097431356,0.9363347426211666,0.928255,0.905226,0.33481,0.428698,0.875996,0.9337374649310448,0.9282550930026572,0.9274457435984393,0.9226278061982918,0.9052258635961028,0.9054450961856079,0.9692741367159972,0.9545454545454546,0.9582781820917866,0.8362043165397833,0.8417391304347827,0.8283321436531031,0.9378599424341871,0.8759964570416298,0.9031824363859965
GSE85241,0.8854166666666666,0.890739045981564,0.8854166666666666,0.8862614510447152,0.716146,0.544271,0.408854,0.315104,0.515625,0.7190346289133857,0.7161458333333334,0.7144376753015186,0.7049066643860721,0.5442708333333334,0.5096095784243896,0.6039415335967259,0.6217821782178218,0.6052700407493365,0.8851961334786582,0.8832116788321168,0.882706507498637,0.5893685821484992,0.515625,0.5028566040903654
GSE98638,0.7345971563981043,0.7262423022909039,0.7345971563981043,0.7185331390700515,0.720379,0.669826,0.270142,0.120063,0.632701,0.7202819270554348,0.7203791469194313,0.6901643412583753,0.7604064494263344,0.669826224328594,0.6122263746873954,0.7394732102279271,0.8066037735849056,0.7606591901794602,0.662380892282451,0.6608695652173913,0.5677772804774084,0.6762523553133698,0.6327014218009479,0.6438774113808073
GSE99254,0.6221062927942614,0.585692170251063,0.6221062927942614,0.5951081173743548,0.590479,0.568308,0.146723,0.097163,0.452886,0.5654287776160907,0.5904792957287252,0.5562563564087215,0.48016043401724684,0.5683077926312358,0.48405948385863085,0.6880943738424596,0.7614213197969543,0.693974251634752,0.4184988653897764,0.5457875457875457,0.43738374380764555,0.5570119935032914,0.452885555917835,0.4743842480898439
GSE118389,0.7395833333333334,0.7430896179554701,0.7395833333333334,0.7403444258138038,0.692708,0.59375,0.020833,0.252604,0.40625,0.7195237954937396,0.6927083333333334,0.6832930026078093,0.659822773041019,0.59375,0.5931628476466154,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.8648935700406288,0.8738738738738738,0.8623768815083727,0.5618536877892183,0.40625,0.4606451648324581
GSE84133,0.9679240088105728,0.9688234319602864,0.9679240088105728,0.967856570650701,,,,,,,,,,,,,,,,,,,,
GSE165092,0.8669438669438669,0.8659583173786642,0.8669438669438669,0.8613374767291245,0.912522,0.758676,0.79242,0.706061,0.640493,0.912736358006451,0.9125219894450664,0.9118764356471664,0.799904897106993,0.7586758355989125,0.7648621839796078,0.8378786642949412,0.7976497102382486,0.8049748658993812,0.9436643206363173,0.9443850267379679,0.9423563552897442,0.8530067717259815,0.6404925635694867,0.709881488654017
GSE83139,0.9536423841059604,0.9571743929359824,0.9536423841059604,0.9543076581213142,0.827815,0.887417,,,0.768212,0.7795648060548722,0.8278145695364238,0.7930951482125473,0.8958064329141209,0.8874172185430463,0.8844945445149148,,,,,,,0.9101263091503594,0.7682119205298014,0.8206458989742846
GSE85241_GSE81076,0.9617486338797814,0.9749463647754618,0.9617486338797814,0.9657065626868772,,,,,,,,,,,,,,,,,,,,
