,scAGN_prediction,scAGN_precision_score,scAGN_recall_score,scAGN_f1_score,scAGN_mcc_score,scAGN_balanced_score,seurat_prediction,singleR_prediction,scmap-cluster_prediction,scmap-cell_prediction,chetah_prediction,Seurat_precision_score,Seurat_recall_score,Seurat_f1_score,Seurat_mcc_score,Seurat_balanced_score,SingleR_precision_score,SingleR_recall_score,SingleR_f1_score,SingleR_mcc_score,SingleR_balanced_score,Scmap-cluster_precision_score,Scmap-cluster_recall_score,Scmap-cluster_f1_score,Scmap-cluster_mcc_score,Scmap-cluster_balanced_score,Scmap-cell_precision_score,Scmap-cell_recall_score,Scmap-cell_f1_score,Scmap-cell_mcc_score,Scmap-cell_balanced_score,Chetah_precision_score,Chetah_recall_score,Chetah_f1_score,Chetah_mcc_score,Chetah_balanced_score
TM,0.9758658403208166,0.9758091237631308,0.9758658403208166,0.975479357649513,0.9740037234316516,0.9356290250064847,0.963252,0.883485,0.673788,0.658549,0.858914,0.9636762072342165,0.9632519139628144,0.9623527575648438,0.9604113846086728,0.8916055205894808,0.9378117695849291,0.8834852351440029,0.8979756867019804,0.8766552456558009,0.9136061858592033,0.940058963989231,0.9074928802906805,0.911771560271797,0.9015553129136679,0.8985921654271191,0.9770362672796644,0.9773834000649281,0.976459746130646,0.9755642376964235,0.8531803632457707,0.9291268961810281,0.8589135982500912,0.8876808542938909,0.849617913398718,0.8212261725238895
Tasic,0.9641148325358851,0.9666726960050028,0.9641148325358851,0.9641559733564824,0.9600421431425021,0.9436438137667409,0.947368,0.992823,0.868421,0.88756,0.913876,0.9268859969578839,0.9473684210526315,0.9344445575299992,0.9416716263112044,0.7781287297527707,0.9933014354066986,0.992822966507177,0.9929356004289099,0.9920003190886518,0.9938192668371698,0.9893916013271793,0.989100817438692,0.9891007910973753,0.9876970364062524,0.9817578133367608,0.9973551855705861,0.9973118279569892,0.9968747268117844,0.9969797333748793,0.96875,0.9869144319572717,0.9138755980861244,0.9462822806171645,0.9056643728404781,0.905492487785203
Mouse_retina,0.9749854566608492,0.9746000435244564,0.9749854566608492,0.9744394819917842,0.969074071972945,0.9187456235053381,0.972368,0.95128,0.054538,0.346422,0.816027,0.971695045896004,0.972367655613729,0.9688150928525071,0.9659673340956735,0.9399835610185133,0.9504943307385342,0.9512798138452588,0.941829819833318,0.9399204150278592,0.9139173799452599,1.0,1.0,1.0,0.0,1.0,0.9927744266638998,0.9929137140475198,0.9925729219626827,0.9892850286130741,0.9218078933777206,0.9624315668400756,0.8160267597440373,0.8746516207360845,0.7934863592031655,0.8677731102662442
PBMC_68k,0.8825313502478856,0.8822557361299406,0.8825313502478856,0.8816028673043201,0.8576025393753138,0.9155243508181943,0.877457,0.769787,0.093905,0.327967,0.74809,0.8768973901520339,0.8774569845435987,0.8760929770031485,0.8516728000081355,0.9209024663518356,0.835656477892947,0.7697871099445902,0.7721727364310592,0.7461378987089885,0.8779004381799475,0.8880495992490035,0.8641975308641975,0.8477455435408944,0.8499878012952577,0.8884845380137539,0.8865467046106233,0.8576876143990237,0.8200874548467186,0.8443040310332295,0.8589784836367906,0.8298381392792618,0.7480898221055702,0.7825868928902803,0.7041436973083768,0.8369864612378759
GSE108989,0.7577729573391179,0.6810350107000155,0.7577729573391179,0.6839786510474954,0.631629930489983,0.4205197848639782,0.734996,0.724873,0.228489,0.497108,0.339118,0.6131309232383969,0.7326625943226733,0.6514130865554771,0.591862347711046,0.2540796843798356,0.6626289643702767,0.7248734634851771,0.6881117819482762,0.577347671485516,0.437935298173202,0.8197842177977753,0.8657534246575342,0.841681251606027,0.764241501124996,0.4002294421427176,0.6990294180247714,0.7994186046511628,0.7197992109801411,0.6907270770892464,0.39504344184617707,0.6672835197865524,0.339117859725235,0.4053411028230886,0.23667395811287525,0.27645480228098374
GSE118389,0.7395833333333334,0.7430896179554701,0.7395833333333334,0.7403444258138038,0.6812749846536287,0.7316105926975878,0.692708,0.59375,0.020833,0.252604,0.40625,0.7195237954937396,0.6927083333333334,0.6832930026078093,0.627406894248073,0.6306349581331864,0.659822773041019,0.59375,0.5931628476466154,0.517149580603472,0.6066276544084837,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.0,0.25,0.8648935700406288,0.8738738738738738,0.8623768815083727,0.8237904355942126,0.7504873294346979,0.5618536877892183,0.40625,0.4606451648324581,0.32230143306251924,0.41699001889912596
GSE72056,0.9353410097431356,0.940827733283265,0.9353410097431356,0.9363347426211666,0.9017826393255566,0.9388160705924841,0.928255,0.905226,0.33481,0.428698,0.875996,0.9337374649310448,0.9282550930026572,0.9274457435984393,0.8925371806078182,0.9275966708891333,0.9226278061982918,0.9052258635961028,0.9054450961856079,0.8618886825491665,0.9615272993374939,0.9692741367159972,0.9545454545454546,0.9582781820917866,0.8759836697459757,0.956237218813906,0.8362043165397833,0.8417391304347827,0.8283321436531031,0.7036167930316625,0.5032040259531835,0.9378599424341871,0.8759964570416298,0.9031824363859965,0.8206673372588863,0.9203023024098088
GSE98638,0.7345971563981043,0.7262423022909039,0.7345971563981043,0.7185331390700515,0.7078982623751746,0.7801801522827941,0.720379,0.669826,0.270142,0.120063,0.632701,0.7202819270554348,0.7203791469194313,0.6901643412583753,0.6974809497812541,0.7578016789421008,0.7604064494263344,0.669826224328594,0.6122263746873954,0.654227515080832,0.7815810006464249,0.7394732102279271,0.8066037735849056,0.7606591901794602,0.7822821430762662,0.7572750889263177,0.662380892282451,0.6608695652173913,0.5677772804774084,0.5965003303792538,0.5208046082666912,0.6762523553133698,0.6327014218009479,0.6438774113808073,0.5953767950654169,0.7057352536719481
GSE99254,0.6221062927942614,0.585692170251063,0.6221062927942614,0.5951081173743548,0.5949545761609443,0.6028446219263404,0.590479,0.568308,0.146723,0.097163,0.452886,0.5654287776160907,0.5904792957287252,0.5562563564087215,0.5617664265230554,0.5808918938891604,0.48016043401724684,0.5683077926312358,0.48405948385863085,0.5562721614951223,0.6487457890738044,0.6880943738424596,0.7614213197969543,0.693974251634752,0.716074112836833,0.45668838423049557,0.4184988653897764,0.5457875457875457,0.43738374380764555,0.48399837724345707,0.25087624800128927,0.5570119935032914,0.452885555917835,0.4743842480898439,0.43138177352569473,0.5115380015587653
blish_pbmc_covid19,0.9098147982463988,0.9036812779984764,0.9098147982463988,0.904811246023972,0.8806550428064436,0.6141473300931242,0.900599,0.852018,0.118815,0.693388,0.623423,0.8922652404913977,0.9005994452894337,0.8922406384813947,0.8685998397025385,0.6131623241563287,0.8554569795605095,0.8520175360114521,0.849507544070463,0.8077019397798844,0.6399940079155076,0.9410855941886244,0.9378531073446328,0.9376092060170728,0.7686089996534459,0.7818882956182728,0.9206198152609494,0.938483894405425,0.9251108905234557,0.9154267073585353,0.44734000644910926,0.8865724112430777,0.6234231010110047,0.7091892437664623,0.5615456941405438,0.6326373845695303
